Unnamed: 0,Name,Price,Unit,URL,Distributor,Product-ID,Dates,Product-Specification
,Sriracha Hot Sauce,$45.84,2 lb,https://shop.gocheetah.com/product/Sauce%2C%20Sriracha%2C%2012%2F17%20OZ/110593,Cheetah,Sriracha-Hot-SauceCheetahbd78934a-d5a9-4d66-bdbe-44694acecde3,"[""2024-10-22""]",
,Sambai Oelek Chili Paste,$62.22,75 lb,https://shop.gocheetah.com/product/Paste%2C%20Chili%2C%20Sambal%20Oelek%2C%203%2F1%20gal/123471,Cheetah,Sambai-Oelek-Chili-PasteCheetah0a97bcd4-ebb3-4c65-9d86-425fe2f6fc57,"[""2024-10-22""]",
,Lemon Juice,$37.84,843 lb,https://shop.gocheetah.com/product/Juice%2C%20Lemon%2C%208%2F48%20oz/110591,Cheetah,Lemon-JuiceCheetah3b7548e8-45dc-48e0-8deb-c5b70e833eeb,"[""2024-10-22""]",
,Salt,$17.75,50 lb,https://shop.gocheetah.com/product/Salt%2C%20Granulated%2C%20Top-Flo%2C%2050%20lb/111133,Cheetah,SaltCheetahc7324eee-1093-4b79-b448-ad65852716bd,"[""2024-10-22""]",
,Sugar,$43.21,50 lb,https://shop.gocheetah.com/product/Sugar%2C%20Cane%2C%20Granulated%2C%2050%20lb/110262,Cheetah,SugarCheetah8b987306-9239-4f5c-8733-580e51c60c15,"[""2024-10-22""]",
,All purpose Flour,$8.08,25 lb,https://shop.gocheetah.com/product/Flour%2C%20H%20%26%20R%2C%20All%20Purpose%2C%20Enriched%2C%20Bleached%2C%2025%20Lb/125886,Cheetah,All-purpose-FlourCheetah112c8575-89cb-435b-afaf-5bb0f1368dd7,"[""2024-10-22""]",
,Tomato Sauce,$33.67,25 lb,https://shop.gocheetah.com/product/Tomato%2C%20Sauce%2C%20San%20Benito%2C%206%20%2310%20can/123374,Cheetah,Tomato-SauceCheetahd659409c-dc58-4e5f-8982-5deb1941a9c4,"[""2024-10-22""]",
,Tomato puree,$43.68,40 lb,https://shop.gocheetah.com/product/Tomato%2C%20Puree%2C%20Extra%20Heavy%2C%20Full%20Red%2C%206%20%2310%20can/110246,Cheetah,Tomato-pureeCheetahe4d05ed6-f9c4-45dc-88d3-149c3485b216,"[""2024-10-22""]",
,Soybean Oil,$29.82,35 lb,https://shop.gocheetah.com/product/Oil%2C%20Soybean%2C%2035%20lb/111122,Cheetah,Soybean-OilCheetah6037f28f-e873-4041-950f-023c4075bc20,"[""2024-10-22""]",
,Fry Oil,$32.02,35 lb,https://shop.gocheetah.com/product/Oil%2C%20Canola%2C%20Frying%2C%20Clear%2C%2035%20lb/110951,Cheetah,Fry-OilCheetah2a2ca00c-a317-409b-9358-545632a995cc,"[""2024-10-22""]",
,Whole Peeled Tomato,$35.89,45 lb,https://shop.gocheetah.com/product/Tomato%2C%20Whole%2C%20Peeled%2C%20Round%2C%20In%20Juice%2C%206%20%2310%20can/123500,Cheetah,Whole-Peeled-TomatoCheetah7d716f4d-d5e9-4051-907e-e990618831ff,"[""2024-10-22""]",
